國文,英文,數學,社會,自然
7,12,9,15,8
8,10,12,15,13
15,10,7,13,13
15,13,10,14,12
7,13,10,6,11
11,15,6,15,9
6,10,10,8,6
9,15,7,13,14
11,14,13,13,12
8,10,15,7,11
12,6,11,14,11
8,13,15,12,10
11,8,12,8,13
15,9,6,10,9
13,14,15,12,7
10,14,10,14,14
9,7,10,13,12
10,14,14,6,9
6,12,9,8,9
14,12,9,6,13
7,15,6,11,6
6,8,8,8,6
12,12,11,8,8
14,12,8,10,14
10,8,9,15,14
6,6,12,13,12
12,15,10,6,12
12,6,6,12,13
15,7,12,12,7
10,8,6,7,6
11,7,13,10,12
12,6,11,13,6
14,11,13,11,8
12,8,15,8,15
15,15,7,13,9
8,13,8,6,15
14,7,9,15,7
6,6,10,9,14
7,9,9,13,8
9,9,12,14,11
9,6,8,10,12
15,14,14,9,6
7,9,15,9,6
11,6,15,9,14
7,7,15,6,12
15,11,6,11,8
6,7,6,8,15
9,9,13,15,7
14,15,14,11,6
12,6,6,12,11
13,10,6,15,8
9,12,14,12,7
14,13,10,11,10
7,15,13,7,13
15,14,6,10,15
10,7,10,7,14
7,9,9,6,12
15,10,7,8,8
12,10,13,11,7
9,13,9,9,7
10,11,13,9,10
6,9,15,15,11
13,14,15,15,8
11,8,11,8,10
6,9,6,6,15
13,11,11,15,9
15,6,9,14,15
6,15,9,11,6
7,14,11,13,13
13,14,11,11,8
13,7,10,11,8
13,13,12,12,13
7,8,10,15,8
8,12,14,15,10
7,6,9,6,8
14,10,7,9,10
8,14,12,15,15
10,11,13,6,14
14,6,12,9,9
6,7,8,6,9
11,10,13,10,15
10,6,8,12,15
6,9,9,9,7
11,13,9,10,13
7,6,11,6,10
15,13,14,10,11
9,8,10,10,13
12,10,13,6,12
15,10,11,14,14
7,11,12,7,10
14,14,8,9,11
7,15,15,13,9
8,13,15,6,11
7,12,11,9,13
15,9,10,7,9
11,7,8,12,6
6,6,13,12,8
8,14,14,10,6
13,10,15,8,7
13,9,10,10,15
